customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,address,postcode,state,country,property_valuation,Recency,Frequency,Profit,RFM_Score,Category
2651,Silvan,Ellison,Male,10.0,1978-10-20,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Yes,10.0,42.0,6876 Mandrake Avenue,2298.0,NSW,Australia,6.0,15.0,8.0,6148.630000000001,12.0,High Potential
637,Mercy,Wilsone,Female,60.0,1976-09-23,Health Coach I,Health,High Net Worth,N,No,13.0,44.0,9427 Tennyson Plaza,2759.0,NSW,Australia,8.0,7.0,13.0,5402.469999999999,12.0,High Potential
3315,Ninnette,Pandey,Female,77.0,1994-08-09,Account Executive,Property,Mass Customer,N,Yes,5.0,26.0,6 North Court,3862.0,VIC,Australia,7.0,1.0,7.0,4892.17,12.0,High Potential
739,Arnie,Zorn,Male,36.0,1964-12-13,Senior Editor,Manufacturing,Mass Customer,N,No,8.0,56.0,08260 Jay Court,3191.0,VIC,Australia,11.0,1.0,10.0,4842.199999999999,12.0,High Potential
1313,Hughie,Laboune,Male,59.0,1986-09-02,Analyst Programmer,Property,Mass Customer,N,No,22.0,34.0,72 Shasta Plaza,4152.0,QLD,Australia,4.0,7.0,7.0,4753.51,12.0,High Potential
729,Ammamaria,Standbridge,Female,30.0,1973-10-23,Analog Circuit Design manager,Health,Affluent Customer,N,No,11.0,47.0,8044 Emmet Hill,3150.0,VIC,Australia,9.0,1.0,9.0,8953.17,12.0,High Potential
2816,Denys,Dumingos,Female,87.0,1989-11-25,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,14.0,31.0,515 Warrior Pass,4226.0,QLD,Australia,9.0,8.0,10.0,5878.47,12.0,High Potential
725,Gage,Crossan,Male,61.0,1965-08-27,Design Engineer,Health,High Net Worth,N,Yes,19.0,55.0,29639 Porter Center,4221.0,QLD,Australia,8.0,3.0,11.0,7321.5,12.0,High Potential
1317,Barrett,Lindley,Male,2.0,1973-01-18,General Manager,Retail,Mass Customer,N,Yes,5.0,47.0,58563 Monterey Hill,4300.0,QLD,Australia,2.0,10.0,9.0,7024.709999999999,12.0,High Potential
234,Mead,Alpes,Female,71.0,1969-12-08,Chief Design Engineer,Retail,High Net Worth,N,No,12.0,51.0,816 Spohn Center,2036.0,NSW,Australia,10.0,11.0,9.0,5763.129999999999,12.0,High Potential
235,Leona,Phateplace,Female,30.0,1976-12-26,Social Worker,Health,Mass Customer,N,No,15.0,44.0,98 Service Court,2018.0,NSW,Australia,8.0,2.0,11.0,4685.820000000001,12.0,High Potential
719,Pattin,Weathey,Male,2.0,1953-12-30,Administrative Officer,Retail,Mass Customer,N,No,14.0,67.0,14254 Hallows Parkway,4615.0,QLD,Australia,1.0,11.0,8.0,4227.84,12.0,High Potential
239,Wells,Pressman,Male,62.0,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,3.0,28.0,95 Eliot Street,4514.0,QLD,Australia,3.0,1.0,9.0,5928.23,12.0,High Potential
2308,Nancey,Hastie,Female,52.0,1963-03-19,Paralegal,Financial Services,Mass Customer,N,Yes,17.0,57.0,00 Marcy Crossing,3115.0,VIC,Australia,9.0,13.0,9.0,5077.969999999999,12.0,High Potential
695,Kevan,Kubal,Male,36.0,1977-11-30,Engineer II,Health,High Net Worth,N,No,11.0,43.0,02 Bartelt Center,2745.0,NSW,Australia,8.0,16.0,8.0,4659.0,12.0,High Potential
1328,Stavro,Gargett,Male,19.0,1981-02-09,Budget/Accounting Analyst IV,IT,Mass Customer,N,Yes,6.0,39.0,27 Farmco Pass,3806.0,VIC,Australia,8.0,0.0,7.0,5351.58,12.0,High Potential
1331,Edward,Hawkwood,Male,12.0,1987-03-24,Tax Accountant,Telecommunications,High Net Worth,N,No,17.0,33.0,2 Dixon Crossing,3910.0,VIC,Australia,7.0,5.0,10.0,6252.43,12.0,High Potential
668,Ebony,Threadgall,Female,61.0,1966-08-26,Junior Executive,Health,Mass Customer,N,No,7.0,54.0,186 Shasta Avenue,2066.0,NSW,Australia,9.0,6.0,7.0,4375.9800000000005,12.0,High Potential
2606,Addi,Seager,Female,56.0,1978-08-19,Electrical Engineer,Manufacturing,High Net Worth,N,No,12.0,42.0,906 Toban Lane,2093.0,NSW,Australia,10.0,5.0,10.0,4718.43,12.0,High Potential
1346,Woody,Dowthwaite,Male,9.0,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0,50.0,5 Springview Terrace,3620.0,VIC,Australia,4.0,15.0,9.0,6736.53,12.0,High Potential
1558,Oberon,Scading,Male,14.0,1991-12-05,Information Systems Manager,Financial Services,Affluent Customer,N,No,2.0,29.0,07236 Jenifer Point,2763.0,NSW,Australia,10.0,8.0,9.0,10640.300000000001,12.0,High Potential
